four_people,median_income,one_person,percent_college,percent_lunch,percent_married,rate_unemployment,three_people,two_people,zip_code,average_act
1233.0,44274.0,2220.0,0.578194207836457,0.688259109311741,0.562334217506631,0.0809956538917424,864.0,2388.0,44420,20.0
2073.5397396834437,55611.0,2537.752261868139,0.694676409185804,0.635933806146572,0.646258503401361,0.133182844243792,1445.3569125959364,2978.1226054275785,7305,16.2698412698413
1521.0,35947.0,2029.0,0.376112759643917,0.567961165048544,0.507265521796565,0.0872817955112219,1389.0,2536.0,40361,18.0
864.0,41702.0,1253.0,0.451462765957447,0.444660194174757,0.567258883248731,0.142857142857143,622.0,2476.0,27944,19.8351648351648
966.0,42083.0,2576.0,0.686206896551724,0.877792378449409,0.496083550913838,0.097361237488626,715.0,1930.0,15214,15.02442002442
1483.0,50054.0,3036.0,0.479692645444566,0.368194842406877,0.688581314878893,0.0528735632183908,1399.0,3693.0,44319,20.0
2204.0,87074.0,1734.0,0.811175928768806,0.0775800711743772,0.972794117647059,0.07986838169309,1755.0,2668.0,60439,22.4
1831.0,45769.0,4864.0,0.603751465416178,0.82321618743344,0.703344120819849,0.109338521400778,1387.0,3762.0,45420,16.0
1258.0,58257.0,713.0,0.666871354006755,0.121019108280255,0.557122708039492,0.0586275816122585,646.0,1882.0,46163,21.7350427350427
3192.0,21538.0,6690.0,0.471724137931034,0.783815028901734,0.153968253968254,0.458502024291498,3008.0,4403.0,48235,15.7
5773.0,90481.0,5970.0,0.779276517473942,0.171792948237059,0.736910994764398,0.0147814910025707,4191.0,8131.0,37075,20.4
5457.0,37105.0,4754.0,0.514990328820116,0.524675324675325,0.471337579617834,0.0710161662817552,3370.0,6048.0,79924,22.1306471306471
1225.0,105427.0,15067.0,0.901113889520346,0.998248686514886,0.718260869565217,0.0994300189993667,2041.0,8366.0,10003,18.8339438339438
7352.0,28832.0,4914.0,0.528460997891778,0.752238805970149,0.318627450980392,0.117859725234996,3928.0,5844.0,10469,17.6862026862027
767.0,25747.0,1370.0,0.50471293916024,0.496951219512195,0.420321637426901,0.245283018867925,659.0,2218.0,27932,18.4676434676435
2764.0,130545.0,2567.0,0.869394435351882,0.115501519756839,0.960162052667117,0.0358819584171697,1952.0,2835.0,60061,25.0
2445.0,19231.0,3069.0,0.306641837368094,0.76378896882494,0.361702127659574,0.281867145421903,1745.0,2960.0,43605,18.0
1181.0,38054.0,1983.0,0.423925027563396,0.12934716290421,0.638452237001209,0.130715705765408,1148.0,2812.0,19512,21.7887667887668
1088.0,87992.0,960.0,0.752399232245681,0.134511913912375,0.797483523067705,0.0635751682872102,659.0,1856.0,44056,22.0
871.0,39683.0,854.0,0.459005066789498,0.530551415797317,0.747519841269841,0.129069103369503,768.0,1778.0,37327,19.4
