four_people,median_income,one_person,percent_college,percent_lunch,percent_married,rate_unemployment,three_people,total_estimate,two_people,zip_code,average_act
6702.0,17103.0,3644.0,0.238041643218908,0.877245508982036,0.555555555555556,0.0993788819875776,3711.0,18022.0,3965.0,78520,19.7863247863248
3379.0,106738.0,2819.0,0.951950523311132,0.0487309644670051,0.890464933018124,0.0372340425531915,1752.0,12085.0,4135.0,49506,24.7
3556.0,24471.0,5120.0,0.775066312997348,0.249302325581395,0.356979405034325,0.0489570029799915,2455.0,17218.0,6087.0,48858,21.5
3191.0,46250.0,4881.0,0.600970873786408,0.349162011173184,0.501883239171375,0.0805060379528465,2697.0,16465.0,5696.0,48111,18.6
2046.830062857911,65000.0,2568.1228805293063,0.613351877607789,0.222935387248609,0.736885245901639,0.0,1441.049723785836,9012.283101542871,2956.280434371741,79760,19.5665445665446
795.0,35403.0,1131.0,0.49493873201918,0.390018484288355,0.563250230840258,0.0940420560747664,493.0,3623.0,1204.0,78957,20.2747252747253
6383.0,78063.0,8216.0,0.711060948081264,0.758620689655172,0.668903803131991,0.0577617328519856,5218.0,27464.0,7647.0,11203,15.7814407814408
3777.0,48400.0,6526.0,0.720527617477329,0.327678571428571,0.764505119453925,0.0482233502538071,2241.0,20046.0,7502.0,54601,22.4
186.0,50396.0,268.0,0.573514431239389,0.296551724137931,0.564897959183673,0.12326656394453,227.0,1265.0,584.0,75453,20.1770451770452
381.0,74172.0,242.0,0.681402815510002,0.150470219435737,0.737807822308064,0.0719505340078696,128.0,1329.0,578.0,79562,21.7155067155067
2446.0,32142.0,6162.0,0.598587866108787,0.288697788697789,0.507148864592094,0.0345262096774194,3042.0,17369.0,5719.0,70506,22.5
2709.0,36996.0,890.0,0.361310133060389,0.78494623655914,0.556745182012848,0.0591581342434585,1106.0,6360.0,1655.0,78724,16.9291819291819
2142.0,36944.0,4166.0,0.451153657339224,0.30416068866571,0.48062015503876,0.0954219525648097,1876.0,12419.0,4235.0,37830,23.1
1949.0,17316.0,3680.0,0.781229773462783,0.238970588235294,0.690095846645367,0.0927221833449965,1761.0,12747.0,5357.0,28607,22.8876678876679
